detectedEmotion,emotion,lemmatisation,rate,text,words,wordsAfterLemmatisation,wordsFound
positive,positive,"[można, możny, obejrzeć, online, on, nie, móc, znaleźć, być, wdzięczny, za, trafny, źródło]",6.0,"Gdzie można obejrzeć online?                        Szukam i nie mogę znaleźć, będę wdzięczna za trafne źródło ;)              ",15.0,13.0,3.0
positive,positive,"[wybrać, się, do, kino, kin, kina, dać, dacia, data, si, nabrać, na, wysoki, ocena, pamiętać, że, wiek, komentarz, trwać, akcja, marketingowy, wystawiać, pozytywny, komentarz, wysoki, najwyższy, ocena, dla, niewielki, kieszonkowe, kieszonkowy, prosić, mieć, godność]",7.0,"Zanim wybierzecie się do kina i dacie sie nabrać na wysoką ocenę, pamiętajcie że w komentarzach trwa akcja marketingowa :)                        Osoby wystawiające pozytywne komentarze i najwyższe oceny dla niewielkiego kieszonkowego, proszę - miejcie godność :)              ",35.0,34.0,7.0
negative,negative,"[tombak, polskie, polski, kino, kin, kina, po, raz, kolejny, dźwignia, handel, jak, jaka, to, ten, się, można, możny, jedynie, marketingowiec, który, promować, kolejny, bezduszny]",1.0,"Kolejny tombak polskiego kina                        Niestety, po raz kolejny zawód...reklama dźwignią handlu jak to się mówi.Pogratulować można jedynie marketingowcom którzy promowali kolejny, bezduszny badziew               ",23.0,24.0,11.0
positive,positive,"[konto, na, oda, od, dość, dawny, pierwszy, raz, wpisywać, komentarz, dla, film, który, wiek, moja, mój, ocena, być, dobry, komedia, romantyczny, jaki, jak, jaka, zostać, nakręcić, wiek, Polska, jeden, dobry, jaki, dotąd, być, naszpikować, na, siła, śmieszny, tekst, mima, mimo, to, ten, wiele, scena, być, to, ten, lekki, wzruszający, wzruszać, dobrze, nakręcić, że, dawno, się, taka, tak, podczas, oglądać]",9.0,"POLECAM                        Mam konto na filmwebie od dość dawna, a pierwszy raz wpisuję komentarz dla filmu, który w mojej ocenie jest najlepszą komedią romantyczną jaka została nakręcona w Polsce i jedną z najlepszych jakie dotąd widziałem. Nie był naszpikowany na siłę śmiesznymi tekstami, a mimo to wiele scen było śmiesznych. Jest to lekki, wzruszający i dobrze nakręcony film... Zdradzę Wam, że dawno się tak podczas oglądania filmu ...              ",66.0,59.0,21.0
negative,positive,[],9.0,"9/10                        A więc Polacy jednak jeszcze potrafią nakręcić dobry film, interesujące...+ Dobra obsada, znakomicie skręcony. W stylu Love Actually.              ",19.0,0.0,0.0
positive,positive,"[rewelacyjny, film, być, bardzo, śmieszny, wiek, niektóry, moment, ogólnie, bardzo, mi, ja, się, podobać]",8.0,"rewelacyjny !                        film był bardzo śmieszny, a w niektórych momentach smutny. ogólnie bardzo mi się podobał =)              ",17.0,14.0,6.0
positive,positive,"[na, ten, film, na, pierwsza, pierwszy, randka, swoić, swój, ukochany, ukochana, ukochać, udać, się, Wiele, scena, zabawny, jak, jaka, chyba, każdy, rodzinny, relacja, problem, człowiek, ludzie, zakochana, zakochać, zakochany, wiedzieć, czy, to, ten, kwestia, scenariusz, czy, Maciej, Stuhr, ale, każdy, scena, on, udziać, udział, być, po, prosty, komedia, dla, zakochana, zakochać, zakochany]",7.0,"Idealny na 1. randkę.                        Wybrałem ten film na pierwszą randkę ze swoją ukochaną i udało się doskonale. Wiele scen zabawnych jak i wzruszających. Ukazuje chyba każdą rodzinną relację i problemy ludzi zakochanych i samotnych. Nie wiem czy to kwestia scenariusza czy Macieja Stuhra, ale każda scena z jego udziałem jest po prostu wyśmienita. Genialna komedia dla zakochanych :-)              ",58.0,52.0,18.0
positive,positive,"[wzruszenie, wzruszyć, film, przypominać, bardzo, być, godny, ja, miąć, to, ten, godzina, fajny, sytuacja, przeplatać, łza, pewno, on, nie, być, to, ten, płytka, płytki, film, jak, jaka, polskie, polski, super, rola, dzieciak]",8.0,"Siech i wzruszenie                        Rzeczywiście, film przypomina ""to tylko miłość""...TYm bardziej, jest godny oglądnięcia.Dla mnie to 2 godziny fajnych, smieszych sytuacji przeplatanych łzami wzruszenia. Na pewno nie jest to płytki film jak tysiace polskich komedii. No i super role dzieciaków!               ",39.0,32.0,11.0
negative,positive,"[na, Polska, to, ten, być, super, film, wat, ostatnie, ostatni, par, parę, lato, rok, szkoda, na, kino, kina, ale, tym, ten, to, razem, raz, być, on, nie, być, to, ten, ale, jak, jaka, na, nasz, nasze]",8.0,"Super POLSKA Komedia :P                        Jak na Polska Komedie to jest super film :P W ciagu ostatnich paru lat szkoda bylo wydawac pieniedzy na kino, ale tym razem było warto. Moze nie jest to REWELACJA ale jak na nasze kino.... SUPER i tyle. Dałam 8/10              ",44.0,36.0,8.0
negative,positive,"[się, mowa, ojciec, ocean, komedia, po, kilka, ostatnie, ostatni, lato, rok, obecność, wiek, kino, kin, kina, głównia, głównie, żenujący, żenować, polskie, polski, na, który, nikt, on, nie, ubliżać, co, jeszcze, bardzo, żenujący, żenować, nasz, naród, wybierać, się, taka, taki, chęć, ten, maszynka, powodować, powstawać, powstawanie, kolejny, takowy, produkcja, doczekać, się, film, który, naprawdę, można, możny, polecić, śmiać, śmiało, śmieć, na, on, pójście, pójść]",7.0,"Doczekaliśmy się!!!                        Jeśli mowa o komediach romantycznych...to po kilku ostatnich latach obecności w kinach głównie żenujących polskich psuedokomedii, na które nikomu nie ubliżając,a co jeszcze bardziej żenujące, nasz naród wybierał się z taką chęcią i 'nakręcał' tę maszynkę powodując powstawanie kolejnych takowych produkcji, doczekaliśmy się filmu, który naprawdę można polecić i śmiało na niego pójść, nie ...              ",56.0,63.0,14.0
positive,positive,"[fajny, fajny, ciepły, ciepło, wat, pierwsza, pierwszy, połów, połowa, bardzo, śmieszny, wiek, drugi, druga, grań, grać, przez, Stuhr, Karolak, polski, film, jaka, jak, jaki, widzieć, wiek, ostatnie, ostatni, długi]",9.0,"Bardzo fajny                        Bardzo fajna ciepła opowieśc. W pierwszej połowie bardziej śmieszna, w drugiej wzruszająca. Bohaterowie grani przez Stuhra i Karolaka super. Najlepszy polski film jaki widziałam w ostatnim czasie... dośc długim :)              ",32.0,29.0,13.0
negative,positive,"[dobry, polski, film, po, to, ten, typ, na, ten, gatunek, film, bo, to, ten, on, nie, była, były, być, komedia, być, to, ten, tenże, też, film, psychologiczny, troszkę, troszka, inny, niżyć, niża, nizać, niż, senność, ale, mieć, miał, wspólny, cel, cela, celujący, jaki, być, przekaz, emocjonalny, przestrzeń, przestrzenić, do, zastanowić, zastanowienie, si, nad, seans, iść, nastawić, nastawienie, na, on, nie, po, film, film, nadzieja, na, to, ten, że, wiek, Polska, można, możny, zrobić, jeszcze, cosinus, dobre, dobry]",8.0,"najlepszy polski film po ""senności"" tego typu                        Jak na ten gatunek filmu, bo to nie była Zwykła komedia, był to też film psychologiczny troszkę inny niż senność ale miały wspólny cel jakim jest przekaz emocjonalny i przestrzeń do zastanowienia sie nad filmem. Na seans szedłem z nastawieniem na nie a po filmie bylem zachwycony. GORĄCO POLECAM film nadzieja na to że w Polsce można zrobić jeszcze cos dobrego              ",68.0,77.0,18.0
negative,positive,"[gorąco, polecać, jak, jaka, na, polski, produkcja, na, prawda, wątek, idealnie, zgrać, zgrany, Karolak, do, to, ten, wszystek, wszystko, kto, pójść, na, ten, film, na, pewno, on, nie, być, żałować, miły, seans, wy, życzyć]",10.0,"gorąco polecam                         Film jak na polską produkcje na prawdę fajny. Wzruszający, śmieszny. Wszystkie wątki idealnie zgrane ze sobą. No i Karolak do tego wszystkiego:) kto pójdzie na ten film, na pewno nie będzie żałować:) miłego seansu wam życzę:)              ",38.0,34.0,8.0
positive,positive,"[wzruszający, wzruszać, romantyczny, czas, romantyczny, czas, zabawny]",7.0,wzruszający romantyczny czasem zabawny.                        Wzruszający romantyczny czasem zabawny              ,8.0,7.0,5.0
positive,positive,"[film, wrócić, kino, kin, kina, czysty, czysta, sumienie]",10.0,"Przefantastyczny film!                        Właśnie wróciłam z kina, z czystym sumieniem polecam. Cudowny film.              ",12.0,8.0,2.0
negative,positive,"[to, ten, raczej, raczy, on, nie, być, komedia, romantyczny, kilka, śmieszny, scena, dialog, mój, mieć, taka, tak, wiek, tło, nostalgia, nierzadko, gorycz, jak, jaka, samotny, bywać, taki, święta, święto, święty, dla, ten, co, naprawdę, być, sam, alba, albo, on, nie, móc, być, bycie, bliscy, bliski, powód, zawodowy, dla, ten, co, środa, śród, bliscy, bliski, czuja, czuć, się, myśleć, myśl, myślić, dużo, więcej, przeglądać, film, niżyć, niża, nizać, niż, czy, być, cały, wątek, ten, dziewczynka, dom]",6.0,"to raczej nie jest komedia romantyczna                        kilka śmiesznych scen i dialogów ma i tak w tle nostalgię a nierzadko gorycz - jak samotne bywają takie święta i dla tych co naprawdę są sami albo nie mogą być z bliskimi z powodów zawodowych i dla tych, co śród bliskich czują się samotni...takich myśli więcej przegląda z filmu niż chumor czy romantyczność...ujmujący jest cały wątek z tą dziewczynką z domu dziecka.               ",69.0,75.0,22.0
negative,positive,"[się, zaciągnąć, on, nie, star, stary, przeciwnik, święta, święto, błyszczący, błyszczeć, paczuszka, mikołaj, choinkowy, nasiadówka, nienawidzieć, nawidzieć, nienawidzić, jak, jaka, popcorn, dawać, spoko]",8.0,"Dałem się zaciągnąć i nie żałuję...                        Ja, stary przeciwnik świąt, błyszczących paczuszek, mikołajów i choinkowych nasiadówek, dżinglebelsów nienawidzący jak popcornu - daję spoko 8/10. Film jest schematyczny konstrukcją, ale nie powiela amerykańskiego stylu w takim stopniu jak nas do tego przyzwyczajono. Jeśli tylko sobie damy zgodę na upraną, czystą i pachnącą Warszawę made in TVN, to jest to całkiem zgrabny ...              ",60.0,23.0,4.0
positive,positive,"[drugi, druga, drugie, dno, być, piękne, piękny, film, on, nie, być, to, ten, typowy, polski, komedia, romantyczny, na, nasz, nasi, nasze, oko, bohater, dokonywać, przemiana, przemian, wiek, swój, swoje, żyć, życie, stajać, stawać, staja, się, inny, lud, człowiek, ludzie, potrafić, go, on, zrozumieć, typowy, nastolatka, nastolatek, go, on, on, nie, zrozumieć, stwierdzić, że, to, ten, szmira, że, taki, coś, już, być, jednak, ten, film, potrafić, poruszyć, zaciekawić, wspaniały, nastrojowy, muzyk, muzyka, Targosz, dodawać]",10.0,"Film z drugim dnem                        ""Listy do M"" jest pięknym filmem, nie jest to typowa polska komedia romantyczna, na naszych oczach bohaterowie dokonują przemian w swoim życiu, stają się innymi ludźmi. Mądrzejsi ludzie potrafią go zrozumieć,  typowy nastolatek go nie zrozumie, stwierdzi że to szmira i że takie coś już było, jednak ten film potrafi poruszyć i zaciekawić, wspaniała i nastrojowa muzyka Targosza dodaje świetnego ...              ",64.0,73.0,25.0
negative,neutral,"[Gąsiorowska, porozumieć, nieporozumienie, wczoraj, żona, za, bilet, drugi, druga, niby, si, mi, ja, taka, tak, wiek, około, oko, gdyby, on, nie, ten, ta, zdanie, zdać, porozumieć, nieporozumienie, mocno, wiek, moja, mój, ocena, ten]",5.0,Gąsiorowska nieporozumienie                        Byłem wczoraj z żona(za 11 zl bilet).Mojej drugiej połowce niby sie podobal a mi tak sobie.Wszystko byloby w miare ok gdyby nie ta Gasiorowska-moim zdaniem nieporozumienie i mocno zaniza w mojej ocenie ten film.              ,36.0,33.0,12.0
negative,negative,"[inspiracja, HyperText Transfer Protocol]",4.0,"Czuć inspiracje ?                        http://www.filmweb.pl/To.Wlasn ie.Milosc nie widzialem filmu, ale tematyk i klimat wg trailerów i zapowiedz widocznie kserują love actually. prawda to?              ",22.0,2.0,0.0
negative,positive,"[dobry, szczerza, szczerze, powiedzieć, on, nie, przepadać, za, komedia, romantyczny, wiek, szczególność, ten, polskie, polski, jednak, ten, film, ja, miąć, naprawdę, pozytywnie, polecać, Warta, do, kino, kin, kina, on, nie, to, ten, na, pewno, ani, stracić, stracony, czas, ani, pieniądz]",10.0,"Polecam!!                        Bardzo dobry film. szczerze powiedziawszy nie przepadam za komediami romantycznymi, a w szczególności tymi polskimi jednak ten film mnie naprawdę pozytywnie zaskoczył. Szczerze polecam! Warto pojsc do kina :) nie bedzie to na pewno ani stracony czas ani pieniądze:)              ",40.0,40.0,13.0
negative,negative,[],3.0,"3/10 z minusem                        Nie dajcie sie zwiesc i uwiesc reklamie, ktora wlasnie po powrocie z kina zobaczylem w TV. Ten film ma swietna obsade i jest to jednyna jego zaleta.              ",30.0,0.0,0.0
positive,positive,"[Nadzieja, polskie, polski, kino, kin, kina, współczesny, film, świetny, do, to, ten, morał, nic, lekki, doskonały, na, że, wiek, przyszłość, TVN, włączyć, go, on, to, ten, program, wiek, rama, ramy, konkurencja, dla]",9.0,"Wybitny                        Film doskonały. Nadzieja polskiego kina współczesnego; Teksty i film świetny, a do tego morał niczego sobie. Film lekki i doskonały na święta. Mam nazieję, że w przyszłości TVN włączy go to programu w ramach konkurencji dla Kevina. 10/10 nie dam po, aby film był wybitny trzeba troszkę więcej- w końcu na 10 oceniłem m. in. Forrest Gump czy Zielona Mila, a do tych tytułów mu daleko, ale na zachętę jako nadzieje ...              ",72.0,32.0,13.0
negative,positive,"[aktor, naprawdę, brakować, aktor, wiek, Polska]",8.0,"Wciąż CI SAMI aktorzy!                        Czy naprawdę brakuje aktorów w Polsce? :/PS : A plakat od razu przywodzi na myśl plakat z ""To właśnie miłość"". Ciągle ta wtórność... i z plakatami i z aktorami...               ",33.0,6.0,3.0
negative,positive,"[mały, dobry, tekst, wiek, film, jeśli, chodzić, ojciec, ocean, śmieszny, tekst, to, ten]",10.0,"mały - najlepsze teksty w filmie                        jeśli chodzi o śmieszne teksty to 6/5, 300% czyli ten mały generalnie, ale też Sandacz był dobry ;-)              ",24.0,13.0,6.0
positive,positive,"[dobry, tekst]",9.0,najlepszy tekst?                        SANDACZ WYBITNY!!              ,4.0,2.0,1.0
negative,positive,"[znać, ktoś, tytuł, piosenka, który, lecieć, wiek, tło, kiedy, Leonarda, Leonard, Pietraszak, śledź, śledzić, Katarzyna, Zielińska, góry, góra, dziękować, za]",6.0,"Piosenka                        Czy zna ktoś tytuł piosenki, która leci w tle kiedy  Leonard Pietraszak śledzi Katarzynę Zielińską?  Z góry dziękuje za pomoc.              ",21.0,20.0,5.0
negative,positive,"[odmiana, być, przyjemny, dla, oko, zabawny, być, miła, miły, odmiana, dla, inny, polskie, polski, wulgarny, komedia, który, gościć, na, ekran, nasz, nasi, nasze, obecność, ten, sam, aktor, co, wiek, inny, film, on, nie]",9.0,"Miła odmiana                        Film jest przyjemny dla oka, zabawny i jest miłą odmianą dla innych polskich wulgarnych komedii, które gościły na ekranach naszych kin. Nawet obecność tych samych aktorów co w innych filmach nie przeszkadza. Polecam              ",35.0,33.0,16.0
positive,positive,"[obsada, wiek, który, znajdować, znajdywać, się, pani, aktorka, ucierpieć, na, Alo, Ali, Al, Ala, zawsze, można, możny, się, wiek, scena, ten, pani, wyobrazić, jakiś, prawdziwy, fajny, aktorka, dotrwać, do, kolejny, inny]",6.0,"obsada                        w której znajduję się pani aktorka K.Zielińska ucierpi na tym. Ale zawsze można sobie w scenach z tą panią wyobrazić jakąś prawdziwą, fajną aktorkę i dotrwać do kolejnej innej sceny.              ",31.0,31.0,13.0
positive,positive,"[bardzo, mi, ja, si, podobać, być, negatywnie, nastawić, wzgląd, na, to, ten, iż, to, ten, polski, film, ale, bardzo, pozytywnie, ja, miąć, zaskoczyć, zabawny, wspaniały, aktor, on, nie, nudzić]",9.0,"suuuper                        bardzo mi sie podobał - byłam negatywnie nastawiona ze względu na to iż to polski film, ale bardzo pozytywnie mnie zaskoczył :) zabawny , wspaniali aktorzy i nie nudzi . POLECAM              ",32.0,29.0,9.0
positive,positive,"[na, Polska, Polski, film, to, ten, na, prawda, super, kino, kina, na, prawda, fajnie, się, oglądać, wiek, kino, kinąć, kin, kina, dobre, dobry, tekst, fajny, historia, szkoda, że, on, nie, mój, mieć, taki, na, prawda, ale, idealnie, filmowy, komedia]",9.0,Jak na Polski film                        to na prawdę super kino :) na prawdę fajnie się oglądało w kinie dobre teksty fajne historie (szkoda że nie ma takich na prawdę) ale idealnie filmowe :) Polecam :P Amerykańska komedia              ,36.0,39.0,10.0
negative,positive,"[Nika, brać, bracić, pod, uwaga, jaki, emocja, emocje, powinien, powinny, dostarczyć, komedia, romantyczny, jak, jaka, się, mój, mieć, on, oglądać, to, ten, ten, film, zasługiwać, na, mocny, dla, wielbiciel, to, ten, gatunek, dla, ten, który, szukać, film, aby, obejrzeć, go, on, we]",8.0,Nice!                        Jeśli brać pod uwagę jakie emocje powinna dostarczyć komedia romantyczna i jak się ma ją oglądać to  ten film zasługuje na mocną 8. Idealny i dla wielbicieli tego gatunku i dla tych którzy szukają filmu aby obejrzeć go we dwoje.              ,41.0,42.0,12.0
negative,positive,"[pozytywnie, się, zaskoczyć, do, to, ten, film, który, zarówno, czas, rozśmieszać, jak, jaka, wat, koniec, on, nie, zawieść, się, na, polski]",8.0,"Bardzo pozytywnie się zaskoczyłam                        Listy do M to film, który zarówno czasami rozśmiesza jak i wzrusza. Naprawdę polecam. W końcu nie zawiodłam się na polskiej produkcji.              ",26.0,21.0,5.0
positive,positive,"[dobro, dobra, dobry, koniec, być, dosycić, dosyć, sentymentalnie, ale, to, ten, bardzo, dobro, dobra, dobry, komedia, wszystek, wszystko, wszyscy, niezdecydowany, zdecydować, polecać]",7.0,"Bardzo dobra komedia. Polcam!!!                        Na końcu jest dosyć sentymentalnie, ale to bardzo dobra komedia i wszystkim niezdecydowanym polecam:)              ",18.0,22.0,9.0
positive,positive,"[Muzyk, Muzyka, być, lista, wszystek, wszyscy, piosenka, to, ten, film, muza]",9.0,Muzyka                        jest gdzies lista wszystkich piosenek z tego filmu? muza swietna :)              ,12.0,11.0,3.0
negative,positive,"[przyznać, że, film, ja, miąć, pozytywnie, zaskoczyć, tym, ten, to, bardzo, że, musieć, być, bycie, zaciągać, do, dobrze, wiedzieć, że, wiek, ostatnie, ostatni, lato, rok, polskie, polski, komedia, to, ten, czysta, czysty, porozumieć, nieporozumienie, to, ten, smutny, że, stać, my, tylko, na, taki, się, coś, podobny, tutaj, miła, miły, film, przypominać, bardzo, pozycja, gdzie, równolegle, dzieje, dziać, się, para, parę, wątek, tenże, też]",6.0,"Zaskoczenie                        Muszę przyznać, że film mnie pozytywnie zaskoczył, tym bardziej że musiałem być zaciągany do kina. Wszyscy dobrze wiemy, że w ostatnich latach polskie komedie to czyste nieporozumienie i to smutne, że stać nas tylko na takie coś. Spodziewałem się czegoś podobnego, a tutaj miła niespodzianka. Niestety film przypomina bardzo pozycję ""To właśnie miłość"", gdzie równolegle dzieje się parę wątków i też podczas ...              ",63.0,63.0,16.0
negative,positive,"[jeszcze, raz, polecać, sam, premier, premiera, film, dobrze, jakby, ukazać, się, wiek, grudzień, tuż, przed, święta, święto]",9.0,"Polecam Polecam                        I jeszcze raz polecam, a sama premiera filmu najlepiej jakby ukazała się w grudniu, tuż przed świętami:)              ",19.0,17.0,6.0
positive,positive,"[na, dobrze, że, zapewne, zaraz, zaraza, zacząć, się, grupować, dwa, obóz, alba, albo, mocno, za, alba, albo, mocno, przeciwić, przeciw, ale, wydawać, mi, ja, się, że, dać, da, rada, stworzyć, jakiś, złoty, środek, czyli, on, nie, być, taka, tak, źle, jak, jaka, móc, być, bycie, być, przyzwoity, montaż, tenże, też, aktor, dawać, Muzyk, Muzyka, on, nie, rzucać, się, taka, tak, wiek, oczyć, oko, jak, jaka, wiek, niemal, każdy, ostatnie, ostatni, polskie, polski, film, na, niestety]",6.0,"Jak na polski-jest dobrze!                        Wiem, że zapewne zaraz zaczną się grupować dwa obozy - albo mocno za albo mocno przeciw, ale wydaje mi się, że da radę stworzyć jakiś złoty środek, czyli inaczej- nie jest tak źle jak mogło być! Scenariusz jest przyzwoity, montaż też, aktorzy dają radę. Muzyka przyjemna. Nawet product placement nie rzucał się tak w oczy jak w niemal każdym ostatnim polskim filmie!Jak na import- niestety, ...              ",69.0,75.0,17.0
positive,positive,"[do, jeszcze, trochę, trocha, być, bardzo, go, on, po, całość, aktorsko, reżysersko, klimat, muzyk, muzyka, wszystko, to, ten, składać, się, na, bardzo, dobry, się, taka, tak, zdarzać, wyjść, wynijść, wyniść, kino, kin, kina, wiek, pełnia, pełny, pełnić, być, tym, ten, to, się, polski, wersja, zobaczyć, polski, wersja, Alo, Ali, Al, Ala, inny, polski, on, nie, powiedzieć, nawet, że]",8.0,"Listy do M a Love Actually i jeszcze trochę                        Film jest bardzo dobry. Oceniając go po całości, aktorsko, reżysersko, klimat, muzyka, wszystko to składa się na bardzo dobry film. Rzadko się tak zdarza, żebym wyszła z kina w pełni usatysfakcjonowana. Tak było tym razem. Spodziewałam się polskiej wersji Love Actually, i zobaczyłam polską wersję Love Actually. Ale inną, polską, i nie powiem nawet, że gorszą. Oba filmy ...              ",67.0,58.0,14.0
positive,positive,"[oczywiście, pomysł, zaczerpnąć, zagraniczny, kino, kin, kina, analogiczny, do, czy, klasyczny, więc, jeżeli, tamten, przypaść, przypadły, do, gust, musić, muszy, musza, musieć, się, znaleźć, na, lista, liść, list, liście, do, obejrzeć, poza, tym, ten, to, fajny, ciepły, ciepło, wzruszający, wzruszać, komedia, dobro, dobra, dobry, polski, obsada, świetny, film, wprowadzać, nastrój, nastroić, dawać, wiek, dzienniczek, mocny, na, skala, skalić]",8.0,"5+                        5+, oczywiście pomysł zaczerpnięty z zagranicznego kina, analogiczny do ""Valentine's Day"", "" New York, I Love You"" czy klasycznego ""Love Actually"" więc jeżeli tamte przypadły Wam do gustu - ""Listy do M"" muszą się znaleźć na Waszej liście do obejrzenia:)poza tym fajna, ciepła, wzruszająca komedia, dobra polska obsada, świetny film wprowadzający z Świąteczny nastrój, daję 5+ w dzienniczku a mocne 8 na skali:)              ",64.0,58.0,18.0
positive,positive,"[zaskoczyć, początek, myśleć, że, kolejny, produkcja, polski, który, zostać, zrobić, dla, pieniądz, bogaty, obsada, aktorski, ale, po, obejrzeć, całość, zdziwić, według, ja, miąć, trochę, trocha, za, szybka, szybko, wypuścić, do, kino, kin, kina, dobrze, lepiej, znaleźć, swoić, swój, czas, wiek, grudzień, kiedy, to, ten, wszystek, wszyscy, zaczynać, czucie, czuć, świąteczny, ocena]",8.0,"Pozytywnie zaskoczony                        Z początku myślałem że kolejna produkcja polska która została zrobiona dla pieniędzy z bogatą obsadą aktorską, ale po obejrzeniu całości zdziwiłem się. Film wg mnie trochę za szybko wypuszczony do kin ... lepiej znalazłby swój czas w grudniu kiedy to wszyscy zaczynają czuć świąteczną atmosferę. Moja ocena 8/10 w kategorii polskich filmów ...              ",55.0,51.0,13.0
positive,positive,"[zaskakujący, zaskakiwać, pozytywny, zaskoczyć, zaskoczenie, polecać, śmieszyć, wzruszający, wzruszać, dawno, on, nie, być, taka, tak, dobre, dobry, polskie, polski, film]",8.0,"zaskakujący                        pozytywne zaskoczenie, polecam! śmieszy i wzruszający, dawno nie było tak dobrego polskiego filmu:)               ",14.0,20.0,3.0
negative,positive,[obowiązkowo],9.0,obowiązkowo                        j.w.              ,2.0,1.0,0.0
negative,positive,"[spodobać, mi, ja, si, to, ten, że, wziąć, do, to, ten, Maciej, Stuhr]",7.0,"Świetny                        Zwłaszcza spodobało mi sie to, że wzięli do tego Macieja Stuhra :)              ",13.0,13.0,3.0
negative,negative,"[smród, się, rola, po, układ, ukłaść, jeszcze, prosić, widz, żeby, to, ten, oglądać]",1.0,Ciepłe smrody                        Porozdawali sobie role po układzie i jeszcze proszą widzów żeby to oglądali               ,14.0,13.0,3.0
negative,positive,"[na, wybierać, się, na, ten, film, ale, przyciągnąć, tłum, do, jedno, jeden, kino, kin, kina, że, minuta, przed, seans, wszystek, miejsce, na, bliski, dzień, były, być, wiek, całkowity, szok, że, lud, człowiek, ludzie, taka, tak, pozytywnie, odbierać, polski, mima, mimo, wszystko, szkoda, że, ja, on, nie, móc, obejrzeć, wybrać, się, na, beznadziejny]",8.0,"Kolejki na ""Listy do M.""                        Dziś wybierałem się na ten film, ale przyciągnął tłumy do jednego z kin,  że 30 minut przed seansem wszystkie miejsca na najbliższe 3 dni były zajęte. Byłem w całkowitym szoku, że ludzie tak pozytywnie odbierają polski film. Chociaż mimo wszystko, szkoda, że ja nie mogłem obejrzeć ""LdM."" i wybrałem się na beznadziejnego ""Anonimusa"".               ",58.0,52.0,18.0
positive,positive,"[super, film, bardzo, dobro, dobra, dobry, grać, gra, aktorski, przyjemny, wiek, koniec, można, możny, być, się]",10.0,"super film                        Polecam bardzo dobra gra aktorska, przyjemny scenariusz. No i w końcu można było się pośmiać.              ",17.0,16.0,6.0
negative,positive,"[pójść, do, kino, kin, kina, lekki, czy, on, nie, być, to, ten, kiepski, podróbka]",9.0,"Świetny !!!                        Ja poszłam do kina z lekką niepewnosci, czy nie jest to kiepska podróbka ""To włąśnie miłość' , ale na szczescie okazało się, że film jest fajniutki. Mimo iż zrobiony na pewno na podstawie tamtego, to udał się znakomicie. Były wątki romantyczne, łzawe, poprzeplatane dobrym dowcipem w wykonaniu Karolaka:) Ostatnie polskie komedie były lekko rozczarowujące, wiec byłam mile zaskoczona tym filmem. Na pewno ...              ",64.0,14.0,4.0
negative,positive,"[film, dawno, si, taka, tak, dobrze, on, nie, bawić, go, on, raz, jeszcze]",10.0,Polecam!                        Świetny film dawno sie tak dobrze nie bawiłem! Chetnie zobaczylbym go raz jeszcze :)              ,15.0,13.0,2.0
negative,positive,"[taka, taki, do, koniec, ten, film, musić, musza, musieć, przyznać, że, miło, ja, miąć, owszem, ale, czy, romantyczny, miłość, odczuwać, się, leczyć, leczo, lecz, głównia, głównie, skupić, się, na, ukazać, to, ten, że, on, nie, mój, mieć, nic, nica, zły, niżyć, niża, nizać, niż, że, wszystek, wszyscy, lud, człowiek, ludzie, maić, maja, mieć, ludzki, słabość, niezależnie, oda, od, to, ten, kima, kto, ki, być, wiek, hierarchia, to, ten, oczywiście, być, tylko, moja, mój, moje]",10.0,"Nie taka do końca romantyczna...                        Widziałem ten film, muszę przyznać, że miło mnie zaskoczył. Komedia a i owszem, ale czy romantyczna?  Motyw miłości odczuwa się, lecz głównie skupiono się na ukazaniu tego, że nie ma nic gorszego niż samotność..  że wszyscy ludzie mają ludzkie słabości, niezależnie od tego kim są w hierarchii społecznej... to oczywiście są tylko moje odczucia.               ",59.0,74.0,18.0
negative,positive,"[pozytywny, zaskoczyć, zaskoczenie, jak, jaka, na, rodzimy, produkcja, który, niestety, ostatnie, ostatni, czas, były, być, totalny, klapa, on, nie, spodziewać, się, tym, ten, to, razem, raz, żaden, tu, bardzo, miła, miły, zaskoczyć, zaskoczenie, film, naprawdę, obsada, bardzo, dobrze, koniec, porządny, polski, komedia, romantyczny, naprawdę, polecać]",9.0,"pozytywne zaskoczenie :)                        jak na rodzimą produkcję, które niestety ostatnimi czasy były totalnymi klapami nie spodziewałam się i tym razem żadnych fajerwerków. a tu bardzo miłe zaskoczenie,film naprawdę świetny.super obsada i bardzo dobrze zrobiony.w końcu porządna,polska komedia romantyczna :)naprawdę polecam :)              ",41.0,45.0,18.0
